"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"209842_at",-3.78128828216788,5.41237713980615,-7.04435679321639,3.20008407674983e-10,1.66803962228839e-08,12.9678302135108,"SOX10","6663"
"214858_at",2.03279006886374,3.03594805436825,7.04408135997242,3.20420996400686e-10,1.66803962228839e-08,12.9665737886625,"GPC1-AS1","100130449"
"226248_s_at",3.58360646497782,5.80777567599358,7.04399010805739,3.20557804693018e-10,1.66803962228839e-08,12.9661575342494,"ELAPOR1","57535"
"210212_x_at",-1.03152153186527,8.28035199524612,-7.04342356465565,3.21408485255391e-10,1.67034645493182e-08,12.963573227063,"CMC4","100272147"
"230142_s_at",1.24863139510101,4.71996491406692,7.04007821992877,3.26477454591576e-10,1.69239969002187e-08,12.9483145589278,"CIRBP","1153"
"1556420_s_at",1.25802163022043,3.8194634411125,7.03919538007186,3.2782833302242e-10,1.69530116279113e-08,12.9442881340529,"YPEL2","388403"
"214440_at",2.1750889444868,6.9226674256596,7.0391720755744,3.27864067430827e-10,1.69530116279113e-08,12.9441818497221,"NAT1","9"
"236641_at",-1.87064488809668,6.66316070921724,-7.03471412457575,3.34771295777302e-10,1.72883655063633e-08,12.9238524594207,"KIF14","9928"
"222889_at",-1.02842231481631,7.21185683683523,-7.03157485294487,3.39721752797023e-10,1.74999381302627e-08,12.9095388454773,"DCLRE1B","64858"
"243209_at",-1.96239434011222,4.10159059419956,-7.02721302224405,3.46720856573636e-10,1.78194854924942e-08,12.8896540440474,"KCNQ4","9132"
"36830_at",1.71315038202318,6.70831663746642,7.02697144728331,3.47112646538078e-10,1.78194854924942e-08,12.8885528531688,"MIPEP","4285"
"223414_s_at",-1.20382856697225,7.24923463332767,-7.02471445303318,3.50794354577672e-10,1.79799646438786e-08,12.8782651496187,"LYAR","55646"
"208998_at",1.57396419503278,10.2274587317432,7.02358339950306,3.52653919971501e-10,1.80527107796647e-08,12.8731100110259,"UCP2","7351"
"215465_at",2.92478752525957,4.02887702882046,7.01881680786247,3.60598689032053e-10,1.83676877578513e-08,12.851387429845,"ABCA12","26154"
"228882_at",-2.09707184580975,4.72702348089387,-7.01779620245331,3.62322730468001e-10,1.8432606997655e-08,12.8467368342486,"TUB","7275"
"211612_s_at",1.87527671872409,6.68499555849505,7.00921479431173,3.77145835986758e-10,1.91392176470309e-08,12.8076418118957,"IL13RA1","3597"
"222572_at",1.32036110491467,10.403118468581,7.0077169387884,3.79794116847818e-10,1.92445484953707e-08,12.8008193603475,"PDP1","54704"
"207017_at",1.08079687004623,4.06700066570899,7.00751076175093,3.80160088802319e-10,1.92445484953707e-08,12.7998802963691,"RAB27B","5874"
"212693_at",-1.13200923338847,7.83098788189831,-7.00416331586586,3.86151099190976e-10,1.94996793980625e-08,12.7846350029739,"MDN1","23195"
"205240_at",-1.26995724734609,7.5034253930609,-6.99943774725112,3.94768270437929e-10,1.98425307340107e-08,12.7631169998107,"GPSM2","29899"
"203227_s_at",1.39142219643365,8.59019631349519,6.99937919252255,3.94876233512651e-10,1.98425307340107e-08,12.7628503963718,"TSPAN31","6302"
"211682_x_at",3.30165960342351,3.08627245155958,6.99878373599834,3.95975799100126e-10,1.98491601836486e-08,12.7601392822737,"UGT2B28","54490"
"1554067_at",1.28589856783595,6.9424187371564,6.99598047702679,4.01193206903112e-10,2.00861126445118e-08,12.7473769642711,"KICS2","144577"
"212563_at",-1.63898691911008,6.3047955990441,-6.99337060950309,4.06111929071548e-10,2.02764325580752e-08,12.735496463679,"BOP1","23246"
"209408_at",-1.25075189771587,7.79110159469724,-6.9931775808897,4.064780890337e-10,2.02764325580752e-08,12.7346178215632,"KIF2C","11004"
"232612_s_at",1.04700607883087,5.48125595348856,6.98978026516154,4.12976375420739e-10,2.0550586526398e-08,12.7191548501524,"ATG16L1","55054"
"218868_at",-1.83891850283642,6.56898998620503,-6.98868965050642,4.15084234535949e-10,2.06304411550449e-08,12.7141913649589,"ACTR3B","57180"
"219957_at",1.01104305955536,7.44268612158221,6.97961548244496,4.33040840096271e-10,2.14968602994038e-08,12.6729030025615,"RUFY2","55680"
"205019_s_at",1.57601110253131,5.54413613267756,6.97869686711954,4.34901044792381e-10,2.15630984772271e-08,12.6687241085409,"VIPR1","7433"
"200831_s_at",1.60593075856232,8.55541082611939,6.97582952404275,4.40758556218152e-10,2.18271302405424e-08,12.6556812752332,"SCD","6319"
"225834_at",-1.36445685609321,8.94538023913109,-6.97088860141308,4.51036148610102e-10,2.22822725754321e-08,12.6332100251887,"FAM72C","554282"
"230788_at",-2.18026547824693,9.04534946618389,-6.9667629707829,4.59799631701094e-10,2.26334022788375e-08,12.61445038791,"GCNT2","2651"
"231283_at",1.70965210750077,5.59376785245229,6.96427129281672,4.65173896252829e-10,2.28704921366319e-08,12.6031221133583,"MGAT4A","11320"
"223315_at",2.7826693631125,6.6907383545499,6.96302036133584,4.67895448199509e-10,2.29767484526619e-08,12.5974352849932,"NTN4","59277"
"205006_s_at",-1.77570775039026,6.09181049547853,-6.95706533634935,4.81069334217766e-10,2.35954150481642e-08,12.5703675335233,"NMT2","9397"
"203789_s_at",2.60354385785519,8.01590394105989,6.95575191152384,4.84024068207867e-10,2.37119747823123e-08,12.5643984851197,"SEMA3C","10512"
"208997_s_at",1.4642590140783,7.21182753446917,6.95541096032999,4.84794022943794e-10,2.37213533613214e-08,12.5628490391638,"UCP2","7351"
"37425_g_at",-1.220582040357,6.39322589914585,-6.95050285610476,4.96013271620124e-10,2.42413923593702e-08,12.5405468119002,"CCHCR1","54535"
"209834_at",-1.53007072818776,3.15232921246894,-6.94790803860209,5.02048293710637e-10,2.45071288515606e-08,12.5287579997466,"CHST3","9469"
"221779_at",-1.37638945479318,7.47360905876719,-6.93127144606301,5.42508791385441e-10,2.63879365147908e-08,12.4532063094683,"MICALL1","85377"
"229930_at",-1.81444334887256,6.46892853104429,-6.92871885180128,5.48996422422476e-10,2.6671859366127e-08,12.4416191287079,"LINC01315","102723775"
"220338_at",1.24644937762565,5.22062322591728,6.9233587269658,5.62870984157772e-10,2.72812787640724e-08,12.4172917818119,"RALGPS2","55103"
"213107_at",2.42317754502554,4.22181030880607,6.92173712408696,5.67136544069733e-10,2.74294802580032e-08,12.4099331506521,"TNIK","23043"
"207843_x_at",1.5894867669459,9.69892669723139,6.92168787569495,5.67266590059183e-10,2.74294802580032e-08,12.4097096759062,"CYB5A","1528"
"242260_at",-1.84093423938262,3.99551828816948,-6.91765522876301,5.78016170982906e-10,2.78431745326345e-08,12.3914123701347,"MATR3","9782"
"228820_at",-1.18961175538963,4.14150804865235,-6.90822272619205,6.03954730998497e-10,2.89643974150437e-08,12.3486271865356,"XPNPEP3","63929"
"226902_at",-1.26041457364204,6.9248439294682,-6.90341559759814,6.17614418679526e-10,2.95503636213947e-08,12.3268293327308,"USP13","8975"
"202132_at",-1.19725346724668,7.94929625073443,-6.90296830125614,6.18900898108053e-10,2.95774037599331e-08,12.3248013133454,"WWTR1","25937"
"228868_x_at",-1.12451108214055,6.57310968917084,-6.90141318515069,6.23394307479694e-10,2.97574623793916e-08,12.3177508116325,"CDT1","81620"
"230226_s_at",-1.04398124550865,6.98755163100541,-6.89930704757855,6.29531448338447e-10,3.00154738461275e-08,12.3082029050483,"KDM5A","5927"
"227400_at",-1.44202818526703,8.66730983005598,-6.89289935536647,6.4857365355648e-10,3.08516404761368e-08,12.2791600229454,"NFIX","4784"
"222869_s_at",-1.19875563439177,4.65097049778657,-6.89243381178331,6.49979180719847e-10,3.08826724521861e-08,12.2770502729124,"ELAC1","55520"
"210008_s_at",-1.08647162649847,5.49934947548367,-6.88361983479172,6.7716645067927e-10,3.21000383163616e-08,12.2371154935191,"MRPS12","6183"
"227804_at",2.05694699830301,6.35126143329796,6.88141788500944,6.84132613141997e-10,3.23928102416564e-08,12.2271412909757,"TLCD1","116238"
"203989_x_at",1.22283288815482,8.44159884826052,6.87726050168199,6.97479238799442e-10,3.29486621056824e-08,12.2083122600856,"F2R","2149"
"211519_s_at",-1.78489918714301,6.15736282918206,-6.8742548907785,7.07288678323671e-10,3.33352470873377e-08,12.1947018971113,"KIF2C","11004"
"221655_x_at",1.4830486317401,4.50887389803596,6.86718526743072,7.30904152502494e-10,3.4369259024326e-08,12.1626957671012,"EPS8L1","54869"
"1555487_a_at",-2.27808439338739,5.17921471470078,-6.86654205657223,7.33091132265934e-10,3.44326102948824e-08,12.1597842892013,"ACTR3B","57180"
"219616_at",2.20811453908862,4.01588304737026,6.86316149892322,7.44692402836441e-10,3.48744085444522e-08,12.1444836931598,"ACSS3","79611"
"1553528_a_at",-1.25337233159126,5.69138001402324,-6.86305846828921,7.45048821698862e-10,3.48744085444522e-08,12.144017407986,"TAF5","6877"
"208420_x_at",1.4763376025936,6.75826977278185,6.86161303719691,7.50066928470272e-10,3.50293215660536e-08,12.1374760614356,"SUPT6H","6830"
"225603_s_at",1.76532755388778,7.72882594914646,6.85841506087126,7.6128868248395e-10,3.55129478231762e-08,12.1230050601705,"TRIQK","286144"
"204378_at",1.39587783472392,4.57187960878193,6.85793938764661,7.62971980192474e-10,3.55242066663019e-08,12.1208527974921,"BCAS1","8537"
"221185_s_at",-2.73827254310529,6.67980899619329,-6.85785732418341,7.6326275663379e-10,3.55242066663019e-08,12.1204814924697,"IQCG","84223"
"208978_at",1.95084330316688,8.0380439899795,6.85646016542388,7.68230209125729e-10,3.56526823475471e-08,12.1141601121518,"CRIP2","1397"
"209366_x_at",1.61948327516618,9.80417125406984,6.85283832038253,7.81256957430795e-10,3.61565014475083e-08,12.0977751405881,"CYB5A","1528"
"215686_x_at",1.2333341411476,3.04044696612725,6.85024224845713,7.90728730717521e-10,3.65535973780623e-08,12.0860323829475,"TFAP2B","7021"
"202871_at",1.44069129093466,6.9034533424514,6.84583155576534,8.07082725815392e-10,3.72256693918271e-08,12.0660848282899,"TRAF4","9618"
"204603_at",-1.11556730291149,6.59029312787623,-6.84155743999717,8.23249925436996e-10,3.78436546441912e-08,12.0467588468709,"EXO1","9156"
"212831_at",1.19218812941465,3.23431214821272,6.82803621241731,8.76538010516704e-10,4.02030923749742e-08,11.9856461872441,"MEGF9","1955"
"232079_s_at",1.32580016853592,5.81031480418464,6.82724627774831,8.79754751327631e-10,4.03055461714393e-08,11.9820770702284,"NECTIN2","5819"
"209424_s_at",1.33234031457134,4.9920441747783,6.82370683873814,8.94312115178199e-10,4.09267566638023e-08,11.9660866491964,"AMACR","23600"
"212930_at",1.62855655675719,6.00904790186491,6.82096601952203,9.05748560899179e-10,4.13578106805233e-08,11.9537060480926,"ATP2B1","490"
"242888_at",-2.09838759450018,4.80143118464406,-6.81802571202718,9.18178520117661e-10,4.18322133765606e-08,11.9404261120445,"PRRT3-AS1","100874032"
"218898_at",-1.58464068278442,5.13199047993468,-6.8168912415074,9.23019471508356e-10,4.20060936844935e-08,11.9353027538982,"TLCD3A","79850"
"1556194_a_at",-1.71463636693834,4.88409718493717,-6.81660647713607,9.24238567368272e-10,4.20149425902091e-08,11.934016778662,"HSPA4L","22824"
"225802_at",-1.39142053411559,7.60997942662048,-6.81593518935414,9.27118712434875e-10,4.20991978789365e-08,11.9309853601798,"TOP1MT","116447"
"230624_at",-1.37667425108667,4.3910768753889,-6.80958727644206,9.5479767102481e-10,4.3212498568103e-08,11.9023240498352,"SLC25A27","9481"
"203713_s_at",1.38909500431412,6.64268026771984,6.8063564654327,9.69197823936156e-10,4.38158628144191e-08,11.8877400015369,"LLGL2","3993"
"205597_at",3.15665543175145,4.95287646182743,6.80466627499832,9.76816731267534e-10,4.41116665736718e-08,11.880111285533,"SLC44A4","80736"
"218481_at",-1.02426436055106,7.5741506419397,-6.80427580541693,9.78585278590752e-10,4.41429161312818e-08,11.8783489786246,"EXOSC5","56915"
"219127_at",2.68847263791153,5.5038954371275,6.80364818491879,9.81434598484747e-10,4.42227959079875e-08,11.8755164067101,"PRR15L","79170"
"204613_at",-1.61947927952526,7.28213926586031,-6.80212393773946,9.88388754987606e-10,4.44872585175761e-08,11.8686375383605,"PLCG2","5336"
"201942_s_at",2.00800186462417,4.85164687814316,6.79601426183607,1.01675660200991e-09,4.57139119614191e-08,11.8410698217386,"CPD","1362"
"228647_at",-1.657455562985,6.84328303771118,-6.79054044016225,1.0428562343664e-09,4.68360098948084e-08,11.8163779997507,"NINJ2-AS1","100049716"
"204305_at",1.42684677530336,7.16477353869021,6.7895104262205,1.0478410946298e-09,4.70083985166307e-08,11.8117324406901,"MIPEP","4285"
"241701_at",-1.37517869819461,5.69162581939792,-6.78677141526945,1.06121194682876e-09,4.75042954888282e-08,11.7993800959355,"ARHGAP21","57584"
"209043_at",-1.0116165559966,11.1198231350168,-6.78593424390511,1.06533233172933e-09,4.75848441505769e-08,11.7956049588286,"PAPSS1","9061"
"213036_x_at",1.73631050147143,6.52233305269551,6.7816695017329,1.08656976399236e-09,4.8427941959503e-08,11.7763759058511,"ATP2A3","489"
"210561_s_at",1.10852187316595,10.6856463248267,6.77801243768847,1.10511469749749e-09,4.9054125209125e-08,11.7598899222118,"WSB1","26118"
"235457_at",-1.62135445772211,9.53927584147354,-6.77795574565307,1.10540463596799e-09,4.9054125209125e-08,11.759634378343,"MAML2","84441"
"212249_at",1.19169469104685,6.73778589964548,6.77712640605731,1.10965472690362e-09,4.9136374105784e-08,11.7558961439205,"PIK3R1","5295"
"211729_x_at",1.33650673547244,9.48837644067052,6.77402126134491,1.12571179904944e-09,4.96594192363457e-08,11.7419010854127,"BLVRA","644"
"224523_s_at",-1.07280516550722,8.89697372190456,-6.77390622056491,1.12631108891331e-09,4.96594192363457e-08,11.7413826306154,"CMSS1","84319"
"219797_at",1.47317386435969,5.71319915548519,6.77335728800215,1.12917503518445e-09,4.97322160501647e-08,11.7389087935003,"MGAT4A","11320"
"235369_at",1.09618272186004,4.44290613825188,6.77058684362674,1.14373970597101e-09,5.01875798307948e-08,11.7264244226399,"DORIP1","122525"
"201939_at",1.64665354918153,9.39928147378567,6.77046018729989,1.1444099878498e-09,5.01875798307948e-08,11.725853715045,"PLK2","10769"
"225570_at",-1.01964288947575,7.22304049532785,-6.76802534977273,1.15737135963689e-09,5.06476576633414e-08,11.7148831299744,"SLC41A1","254428"
"213043_s_at",2.21851434318954,7.89669523123426,6.76611145377273,1.16766156888413e-09,5.0989132023988e-08,11.7062606473591,"MED24","9862"
"224879_at",-1.18660935428431,9.41834684080722,-6.76273336320009,1.18604571402508e-09,5.17368281466857e-08,11.6910436327901,"DMAC1","90871"
"223570_at",-1.23804455902044,5.40811747219678,-6.76144853218792,1.19311298306398e-09,5.19346122691671e-08,11.6852566135383,"MCM10","55388"
"227782_at",2.33728742572043,4.48790666201487,6.76068214508109,1.19734837010811e-09,5.20637036775324e-08,11.6818048946469,"ZBTB7C","201501"
"202094_at",-1.84302846427975,4.61755735638044,-6.75789914494012,1.21285402217387e-09,5.25600453323391e-08,11.6692716678597,"BIRC5","332"
"209163_at",1.30560368367744,8.94219373107479,6.75773830036656,1.21375623124907e-09,5.25600453323391e-08,11.668547357145,"CYB561","1534"
"210735_s_at",2.60104462512306,4.06562240984384,6.7577143868557,1.21389042361051e-09,5.25600453323391e-08,11.6684396709875,"CA12","771"
"203264_s_at",-1.66461035807173,6.10181990180163,-6.75237248906191,1.24423806988059e-09,5.35915771331037e-08,11.6443874489452,"ARHGEF9","23229"
"203773_x_at",1.30366885998401,9.44772296600642,6.7477644362137,1.27101949747393e-09,5.46871809805048e-08,11.6236444589824,"BLVRA","644"
"34697_at",-1.24742058544133,6.62290476767056,-6.74167700667087,1.30727583659957e-09,5.6063661721946e-08,11.5962492970316,"LRP6","4040"
"203120_at",-1.19835436019779,9.65549987503283,-6.74147766658084,1.30848025236324e-09,5.6063661721946e-08,11.5953523486717,"TP53BP2","7159"
"229222_at",2.04614625313524,4.67411761602938,6.73941840814628,1.32098680997313e-09,5.65404417078688e-08,11.5860870486211,"ACSS3","79611"
"210073_at",-2.41322591470042,5.83203535771629,-6.73464885269309,1.35041031373376e-09,5.76043341474506e-08,11.5646308189061,"ST8SIA1","6489"
"206463_s_at",2.66506232558429,3.48340934029185,6.73332015518516,1.35872203092368e-09,5.78536221765261e-08,11.5586544661393,"DHRS2","10202"
"203771_s_at",1.59887185711541,7.49016275192777,6.73077223431617,1.37480260741197e-09,5.84170011547361e-08,11.5471952635267,"BLVRA","644"
"207522_s_at",2.15517014811695,5.22041885517901,6.72875094394629,1.38769341052437e-09,5.89037066305809e-08,11.5381055952497,"ATP2A3","489"
"205284_at",-1.0448977008285,6.01480921636105,-6.72587734200017,1.40622611022157e-09,5.94442220861084e-08,11.5251846815035,"URB2","9816"
"222736_s_at",-1.36593886726126,4.48923928914971,-6.71642709668765,1.46891879370942e-09,6.20304286480545e-08,11.48270545027,"TMEM38B","55151"
"209757_s_at",2.04972809262951,5.30278488695169,6.71212795395143,1.49834747943106e-09,6.28845855133994e-08,11.4633872560505,"MYCN","4613"
"210312_s_at",1.0460793115338,9.82510334068128,6.70337258960302,1.56009687446454e-09,6.5076512960879e-08,11.4240578912557,"IFT20","90410"
"224917_at",1.24672065913892,11.9689618614931,6.70117128435552,1.57601440448939e-09,6.56736734163446e-08,11.4141722807279,"VMP1","81671"
"212838_at",1.21477506860694,5.3704167329003,6.69927676918538,1.58984221146151e-09,6.61826294809825e-08,11.4056652785044,"DNMBP","23268"
"201943_s_at",1.93252487108288,7.37780309407039,6.69409215899069,1.62830109664193e-09,6.75777916667062e-08,11.3823888114833,"CPD","1362"
"201474_s_at",1.27910449409838,4.91466612014696,6.69038867598461,1.65633566614455e-09,6.86717772038334e-08,11.3657656431133,"ITGA3","3675"
"226120_at",1.24868510568532,7.05376929703121,6.68932715026797,1.66445892927828e-09,6.8938862561744e-08,11.361001535108,"TTC8","123016"
"1553132_a_at",1.72754085415229,7.60210121124025,6.68706408488072,1.68190880093875e-09,6.95078928928466e-08,11.3508457945738,"TC2N","123036"
"206364_at",-1.13882835679185,9.03889987719246,-6.68676326243902,1.68424195448984e-09,6.95078928928466e-08,11.3494959104364,"KIF14","9928"
"221520_s_at",-1.65851480791889,7.08773314429912,-6.68666842291606,1.68497818592063e-09,6.95078928928466e-08,11.3490703401832,"CDCA8","55143"
"204508_s_at",2.40554499260191,3.82438009550084,6.68632926808858,1.68761362472564e-09,6.95466422796484e-08,11.3475484787047,"CA12","771"
"201564_s_at",-1.58339309916308,7.10648710150264,-6.68020565768819,1.7359058945198e-09,7.14649450792065e-08,11.3200750172195,"FSCN1","6624"
"210241_s_at",1.3874110432425,6.60098199466733,6.67091273699576,1.81181708353835e-09,7.41038686343121e-08,11.2783988753046,"TP53TG1","11257"
"226913_s_at",-3.19689077231183,4.47080495224517,-6.67081210801683,1.8126568198277e-09,7.41038686343121e-08,11.2779476908531,"SOX8","30812"
"214079_at",3.58274377676649,3.66792016210799,6.6660986859071,1.85242436953482e-09,7.55789142770206e-08,11.2568169925502,"DHRS2","10202"
"210859_x_at",1.03960063187155,7.18926611802854,6.66369789813099,1.87301074418189e-09,7.61158895484976e-08,11.2460560068942,"CLN3","1201"
"224764_at",-1.1991643140027,10.3516865621949,-6.66211706832958,1.88668958671506e-09,7.65958612016478e-08,11.2389710211347,"ARHGAP21","57584"
"234998_at",1.16593210348619,6.39622896113768,6.65343818136535,1.96356795676078e-09,7.91682797433817e-08,11.2000841325864,"RAB11A","8766"
"209283_at",-3.15225471974093,8.90941895496409,-6.65074737097406,1.98802712065949e-09,8.00757014297856e-08,11.1880311413443,"CRYAB","1410"
"226320_at",-1.00017845936905,8.63976408540042,-6.6501624220219,1.99338401066811e-09,8.01933604781452e-08,11.1854111918309,"ALYREF","10189"
"208830_s_at",1.37091928248431,6.04472422260345,6.65000155505657,1.9948597133867e-09,8.01933604781452e-08,11.1846906927302,"SUPT6H","6830"
"224939_at",1.03458639114582,10.0719412080397,6.64812839199805,2.01212285317486e-09,8.0808115055418e-08,11.176301517042,"NUFIP2","57532"
"203633_at",1.15346962038974,7.96767736872912,6.6456822406884,2.03488945857949e-09,8.15931813951789e-08,11.1653473736611,"CPT1A","1374"
"224450_s_at",-1.22803112205976,8.70033145725419,-6.64552059304165,2.03640287985165e-09,8.15931813951789e-08,11.1646235460876,"RIOK1","83732"
"222750_s_at",1.75702169949222,7.90030867068024,6.64538847449613,2.03764066307344e-09,8.15931813951789e-08,11.1640319487504,"SRD5A3","79644"
"211139_s_at",-1.72734697369661,6.13860898476007,-6.64286582004907,2.06141808926859e-09,8.24647681291407e-08,11.1527368439211,"NAB1","4664"
"227997_at",-2.848366707988,7.23553868479841,-6.64052985109054,2.08368066864403e-09,8.32741151433525e-08,11.1422789375336,"IL17RD","54756"
"208935_s_at",1.22512484045346,9.0242439072852,6.62669658920584,2.22047780112996e-09,8.77998763332042e-08,11.0803748618886,"LGALS8","3964"
"201196_s_at",-1.27554320850454,9.19236283836926,-6.6257857476788,2.22979072041717e-09,8.79984010586964e-08,11.0763004021577,"AMD1","262"
"229152_at",-5.40438674475059,6.64232976378051,-6.62091839558271,2.28021609480334e-09,8.99019045685734e-08,11.0545306178722,"FDCSP","260436"
"206378_at",5.41468294947914,4.49344632660095,6.6191072571346,2.29926601424294e-09,9.05659016791713e-08,11.0464315171122,"SCGB2A2","4250"
"214240_at",-2.58555106552033,5.27242635608108,-6.61722294880378,2.31925271027481e-09,9.12654876507758e-08,11.0380060325746,"GAL","51083"
"1559051_s_at",-1.52177010867899,3.00022262919775,-6.61031329493424,2.39402486787565e-09,9.38476058148883e-08,11.0071174117404,"CGAS","115004"
"213610_s_at",-1.36939053071834,8.00650522314222,-6.59735954780046,2.54068690703174e-09,9.9217453272314e-08,10.9492399716591,"KLHL23","151230"
"236496_at",1.76176373326019,4.86489882037775,6.59439474593677,2.57548493820349e-09,1.00480670224639e-07,10.9359988178025,"DEGS2","123099"
"230212_at",1.05045001297762,2.61941083356663,6.59294807690873,2.59263533266313e-09,1.00957663039429e-07,10.929538583574,"SPRY1","10252"
"242321_at",-1.44794518460157,4.4670315945865,-6.58095870484307,2.73918815712685e-09,1.0636143105571e-07,10.8760181641213,"PTPN14","5784"
"213355_at",-1.54774022466119,6.32912724254665,-6.57547934370171,2.80886576700423e-09,1.08860805208168e-07,10.8515698193717,"ST3GAL6","10402"
"232078_at",1.6304183907426,4.13651166218351,6.57252720846109,2.84713009868092e-09,1.10239586937028e-07,10.8384006861729,"NECTIN2","5819"
"229128_s_at",-2.08006526476664,9.86736946536544,-6.56704228556729,2.91959741681307e-09,1.12832396304433e-07,10.8139386521072,"ANP32E","81611"
"227309_at",-1.3198876347024,7.70056327531074,-6.5634214853514,2.96843250854564e-09,1.14303428789179e-07,10.79779433676,"YOD1","55432"
"204867_at",1.07066771766444,6.72199154265578,6.56339360786275,2.96881161985356e-09,1.14303428789179e-07,10.7976700497374,"GCHFR","2644"
"209281_s_at",1.28697939427061,8.22218633064211,6.56110160318294,3.00014542896628e-09,1.15185358772784e-07,10.7874521811923,"ATP2B1","490"
"219756_s_at",1.30532207037284,4.32968192352603,6.56066302924813,3.00617831677125e-09,1.15309013752e-07,10.7854971420857,"POF1B","79983"
"209623_at",1.48603619188515,8.15113574829599,6.55840377142176,3.03744661197209e-09,1.16182332907932e-07,10.7754267447543,"MCCC2","64087"
"222551_s_at",-1.14020913001842,6.41312189156973,-6.5565811001063,3.06290679999904e-09,1.17046999466133e-07,10.7673032859189,"C8orf33","65265"
"227267_at",1.02917978750077,5.2448743969477,6.55616813076897,3.06870467648231e-09,1.17159372955755e-07,10.7654628359329,"POC5","134359"
"219148_at",-1.70335782462966,8.47158278360168,-6.55448051780946,3.09251093097744e-09,1.17848808748884e-07,10.7579422057786,"PBK","55872"
"235141_at",1.09178329625258,8.22158463508078,6.55178576237959,3.13090367938885e-09,1.19090514350334e-07,10.7459348084246,"MARVELD2","153562"
"203143_s_at",1.54243789645619,6.54861442047856,6.55119277431922,3.13941518469175e-09,1.19303596138184e-07,10.7432927857521,"KIAA0040","9674"
"209298_s_at",1.24497730201222,6.30272725546236,6.55068027887576,3.14678976734378e-09,1.19473118166819e-07,10.741009461976,"ITSN1","6453"
"205073_at",2.14642053457251,4.30880683863848,6.54594447076187,3.21575178664545e-09,1.21652117142861e-07,10.7199130144782,"CYP2J2","1573"
"209792_s_at",-3.43295922253205,4.91386254592037,-6.5459301351216,3.2159627925461e-09,1.21652117142861e-07,10.7198491622697,"KLK10","5655"
"221276_s_at",1.56113987283032,4.49344506991901,6.54377457988729,3.2478466873172e-09,1.22741664116824e-07,10.710248699063,"SYNC","81493"
"204629_at",-1.4492393170819,2.82894439089697,-6.54085444413687,3.29153905419634e-09,1.24049878105025e-07,10.6972447374962,"PARVB","29780"
"228805_at",-1.64832811774009,7.29847664763844,-6.53940740991681,3.3134051324873e-09,1.24759287467869e-07,10.6908015701373,"SIMC1","375484"
"201349_at",1.48211577726129,9.28147108864026,6.53428020511314,3.3920447836266e-09,1.27252885917498e-07,10.6679759372249,"NHERF1","9368"
"206043_s_at",2.17473367163265,5.11356179983031,6.53355510568389,3.40331412720322e-09,1.27558951071152e-07,10.6647484108427,"ATP2C2","9914"
"213012_at",1.48924562135902,6.12902737004369,6.52928194240702,3.47048280399482e-09,1.29852089647856e-07,10.6457305397395,"NEDD4","4734"
"223079_s_at",-1.83482991550651,7.86281769911496,-6.5234036939484,3.56502827419456e-09,1.32770589786625e-07,10.6195765100892,"GLS","2744"
"203706_s_at",-1.50120037227928,9.6008568004908,-6.52029662204109,3.61602671827928e-09,1.34303948873481e-07,10.6057556850667,"FZD7","8324"
"221059_s_at",-1.26577844324642,10.0093649351354,-6.51845030390876,3.64667260769502e-09,1.35075125208606e-07,10.5975440518369,"CHST6","4166"
"1554930_a_at",1.24403885792405,3.03446501100755,6.51533082680817,3.69903550226848e-09,1.36767584972964e-07,10.583671865261,"FUT8","2530"
"225286_at",1.16921487865197,7.30816586709152,6.50970909362983,3.79528483246644e-09,1.40199873216625e-07,10.5586783276705,"ARSD","414"
"218820_at",2.03324883720208,3.59321036732095,6.50924506911228,3.80333912862207e-09,1.40370942961314e-07,10.5566156813078,"C14orf132","56967"
"206059_at",1.42105660983038,10.5364793257372,6.50811886554922,3.8229575437779e-09,1.4096812151535e-07,10.5516097893209,"ZNF91","7644"
"214769_at",-1.65023164240417,3.42348831046575,-6.50514333259673,3.87527395233706e-09,1.42413589755757e-07,10.5383852790403,"CLCN4","1183"
"219123_at",-1.09303509018916,7.85680679638678,-6.50506993792256,3.87657329844195e-09,1.42413589755757e-07,10.5380591102688,"ZNF232","7775"
"233169_at",1.10512486681299,4.89132465299396,6.5049033860743,3.87952345520389e-09,1.42413589755757e-07,10.5373189523774,"ZNF350","59348"
"223213_s_at",-1.09628131060021,7.85398242743418,-6.50414635023008,3.89296094259898e-09,1.42779043372387e-07,10.5339547652619,"ZHX1","11244"
"208831_x_at",1.50656894608743,5.90783088049013,6.5024347434633,3.92351208372286e-09,1.4377094681052e-07,10.5263490913944,"SUPT6H","6830"
"212430_at",-1.07291852986129,6.53902319123234,-6.49842597886463,3.99599705859715e-09,1.45905488326552e-07,10.5085386504054,"RBM38","55544"
"235056_at",-1.14710517682277,8.46452255756749,-6.49794004681995,4.00487298957175e-09,1.46099476925623e-07,10.5063799870419,"ETV6","2120"
"243349_at",2.06197547899486,4.01630384431906,6.49010604986304,4.15068710593548e-09,1.51015771155083e-07,10.4715870376698,"ELAPOR1","57535"
"1554006_a_at",1.26376707471212,5.18501670639496,6.48718821109327,4.20632807981367e-09,1.52769066948344e-07,10.4586320304828,"LLGL2","3993"
"202458_at",1.39038348042895,9.36476313367434,6.48532751011492,4.24219465950602e-09,1.53799248292117e-07,10.4503717576618,"PRSS23","11098"
