"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"206509_at",6.88930263571921,5.88398407463897,11.6561539886305,7.10538556626045e-20,6.33367890780312e-17,34.6998905762479,"PIP","5304"
"219956_at",3.43517674053421,7.1504720409255,11.5558491194239,1.14643543789082e-19,1.00017954670799e-16,34.2326207506579,"GALNT6","11226"
"226370_at",-1.87039126915392,7.05096990640367,-11.5477448610346,1.1916574225132e-19,1.0179733531819e-16,34.1948293063126,"KLHL15","80311"
"222209_s_at",1.81358901488648,8.46536556300465,11.4965485601626,1.52175411286892e-19,1.27342868661382e-16,33.9559644130377,"TMEM135","65084"
"215108_x_at",4.48655440201336,5.27780220938281,11.4825779389438,1.62681590635178e-19,1.33411918848097e-16,33.8907439434312,"TOX3","27324"
"217892_s_at",1.83442666871195,9.3934540452758,11.4439747554886,1.95653626059671e-19,1.55044178493822e-16,33.7104445919751,"LIMA1","51474"
"221024_s_at",3.28754266780228,7.75576549946098,11.4429421233079,1.96622214459046e-19,1.55044178493822e-16,33.7056199105798,"SLC2A10","81031"
"204014_at",3.08664577507566,8.17977286056166,11.3501731589285,3.06513419562866e-19,2.37137287844448e-16,33.2718298328496,"DUSP4","1846"
"223468_s_at",-2.8468651130195,4.49430306922536,-11.3356408976222,3.28609261662144e-19,2.49523966022121e-16,33.2038140904082,"RGMA","56963"
"200934_at",-1.11170955356171,12.2696575771046,-11.3304513780463,3.36881216821456e-19,2.51154134809945e-16,33.1795213918451,"DEK","7913"
"204623_at",5.14763089981481,3.78496990886327,11.3112608975361,3.693268305192e-19,2.70426381403737e-16,33.0896702787014,"TFF3","7033"
"228303_at",3.1879706388223,5.78838501977823,11.30665008776,3.77578618115959e-19,2.71618134337312e-16,33.0680778557319,"GALNT6","11226"
"207357_s_at",2.3405120220237,5.01803251178517,11.2939361273558,4.01303199535621e-19,2.83707524030321e-16,33.0085297796277,"GALNT10","55568"
"229030_at",3.65954118729481,3.36325709532986,11.251977579217,4.90737599980094e-19,3.41054314399725e-16,32.8119206571105,"CAPN8","388743"
"224989_at",2.4628800672338,8.78521828910461,11.2085657975709,6.04380202495934e-19,4.13033430385721e-16,32.6083602447118,"SMIM14","201895"
"225421_at",-2.72547222948044,9.10057511801925,-11.1939003199221,6.48459842250116e-19,4.35892579862684e-16,32.5395608106968,"PM20D2","135293"
"212256_at",3.05890178776214,6.21655739144404,11.1793137872452,6.95501193657038e-19,4.59973079753439e-16,32.4711157844906,"GALNT10","55568"
"203128_at",1.77331358007165,6.50983437563526,11.1607802273017,7.60242313967922e-19,4.94809140348265e-16,32.3841271654548,"SPTLC2","9517"
"227642_at",-4.05898986033231,5.68076387917178,-11.1258799919808,8.99019347866517e-19,5.75990458436229e-16,32.2202518007903,"TFCP2L1","29842"
"212771_at",-3.06399229260678,8.6233967085651,-11.1180717119383,9.33394967445799e-19,5.88814265309962e-16,32.1835755761703,"FAM171A1","221061"
"200670_at",2.08420071998734,10.8142083112739,11.0874002393922,1.08167378912511e-18,6.72014424989183e-16,32.0394662374685,"XBP1","7494"
"224146_s_at",4.489741906087,3.78808376935332,11.0249941185104,1.46036628061541e-18,8.93744163736628e-16,31.7460459633438,"ABCC11","85320"
"229499_at",3.36834365244774,5.29345042311252,11.0199905986535,1.49595626810545e-18,9.02061629667587e-16,31.7225086804052,"CAPN13","92291"
"217979_at",1.59181017316581,12.0326711409375,10.9884326690549,1.74136412730683e-18,1.03482456052303e-15,31.5740158639667,"TSPAN13","27075"
"220296_at",2.00336616935118,5.77834318815405,10.9621853328608,1.97596760459748e-18,1.15746536655593e-15,31.4504598065086,"GALNT10","55568"
"228731_at",3.45681918062099,4.8843488406444,10.9254055920832,2.35899988237711e-18,1.35280895028739e-15,31.2772459573709,"GUCY1A2","2977"
"222587_s_at",2.92828448502771,7.01867750553556,10.9239649218209,2.37543274852923e-18,1.35280895028739e-15,31.2704593057695,"GALNT7","51809"
"243634_at",2.3668075133179,5.72499746709772,10.9206754209749,2.41338565393488e-18,1.35559541580748e-15,31.2549627443243,"SMIM14","201895"
"228565_at",-2.51928497223485,6.57007355914268,-10.8920220608431,2.77078160162877e-18,1.53531255125927e-15,31.1199491763697,"MAP3K21","84451"
"212099_at",2.03621354055618,9.80201717602799,10.8323221602741,3.69515105473408e-18,2.02021298464422e-15,30.8384753428067,"RHOB","388"
"220559_at",-4.51142036125242,6.67684978286576,-10.8028299921346,4.26021742875275e-18,2.29849941379707e-15,30.6993422630763,"EN1","2019"
"211621_at",2.55177493771436,3.4624810426553,10.7746555397778,4.88079549037939e-18,2.59911867905865e-15,30.5663755086414,"AR","367"
"244689_at",-1.74304297182429,5.8216798671872,-10.7652131868875,5.10843586794223e-18,2.68546544011671e-15,30.5218023609757,"PPARA","5465"
